transaction_id,CLIENTNUM,transaction_datetime,amount,merchant_category,hour_of_day,is_foreign_transaction,distance_from_home_km,is_fraud
1,719455083,2024-05-31 07:00:00,41.94,Travel,7,0,2.5,0
2,719455083,2024-08-04 20:00:00,79.49,ATM Withdrawal,20,0,18.5,0
3,719455083,2024-04-23 20:00:00,44.02,ATM Withdrawal,20,0,14.2,0
4,719455083,2024-04-05 09:00:00,80.79,Grocery,9,0,54.6,0
5,719455083,2024-02-07 02:00:00,63.55,Gas Station,2,0,17.1,0
6,719455083,2024-11-09 13:00:00,57.14,Online Retail,13,0,5.4,0
7,719455083,2024-01-07 02:00:00,114.95,Travel,2,0,4.5,0
8,719455083,2024-06-24 21:00:00,72.98,Jewelry,21,0,3.1,0
9,719455083,2024-04-24 15:00:00,88.71,Restaurant,15,0,12.7,0
10,719455083,2024-11-09 20:00:00,52.63,ATM Withdrawal,20,0,4.7,0
11,719455083,2024-01-22 08:00:00,71.7,Utility Bill,8,0,2.7,0
12,719455083,2024-08-15 00:00:00,20.26,ATM Withdrawal,0,0,0.1,0
13,719455083,2024-12-04 04:00:00,99.78,ATM Withdrawal,4,0,15.8,0
14,719455083,2024-10-31 11:00:00,91.78,ATM Withdrawal,11,0,1.0,0
15,719455083,2024-08-23 02:00:00,22.69,Gas Station,2,0,1.9,0
16,719455083,2024-12-17 13:00:00,85.55,Travel,13,0,11.1,0
17,773503308,2024-05-15 19:00:00,53.48,Gas Station,19,0,17.8,0
18,773503308,2024-10-07 12:00:00,42.42,Online Retail,12,0,5.1,0
19,773503308,2024-02-05 11:00:00,47.65,Utility Bill,11,0,33.5,0
20,773503308,2024-03-24 06:00:00,28.61,Travel,6,0,4.8,0
21,773503308,2024-07-20 05:00:00,22.59,Online Retail,5,0,8.1,0
22,773503308,2024-05-13 14:00:00,27.54,ATM Withdrawal,14,0,3.7,0
23,773503308,2024-09-10 06:00:00,30.55,Grocery,6,0,5.4,1
24,773503308,2024-05-22 01:00:00,30.99,Grocery,1,0,0.8,0
25,773503308,2024-06-12 05:00:00,62.17,Gas Station,5,0,16.7,0
26,773503308,2024-06-17 05:00:00,165.98,Grocery,5,0,15.0,0
27,773503308,2024-01-21 15:00:00,51.62,Grocery,15,0,13.4,0
28,773503308,2024-08-26 19:00:00,24.75,Gas Station,19,0,2.9,0
29,773503308,2024-09-24 17:00:00,40.21,ATM Withdrawal,17,0,31.5,0
30,773503308,2024-03-03 19:00:00,29.84,Utility Bill,19,0,4.2,0
31,773503308,2024-06-07 08:00:00,59.32,Electronics,8,0,18.1,0
32,773503308,2024-10-18 21:00:00,81.14,ATM Withdrawal,21,0,15.4,0
33,773503308,2024-08-01 02:00:00,58.14,Online Retail,2,0,42.2,0
34,773503308,2024-07-16 01:00:00,84.4,Restaurant,1,0,15.8,0
